GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mensal3,com.mensal3.mensal3.services,UsuarioService,0,38,0,0,0,8,0,6,0,6
mensal3,com.mensal3.mensal3.services,TextoService,0,79,0,2,0,17,0,10,0,9
mensal3,com.mensal3.mensal3.services,TagService,0,65,0,2,0,14,0,8,0,7
mensal3,com.mensal3.mensal3.services,CategoriaService,0,65,0,2,0,14,0,8,0,7
mensal3,com.mensal3.mensal3.services,ComentarioService,74,3,0,0,15,1,6,1,6,1
mensal3,com.mensal3.mensal3,Mensal3Application,5,3,0,0,2,1,1,1,1,1
mensal3,com.mensal3.mensal3.entities,ComentarioEntity,0,38,0,0,0,16,0,11,0,11
mensal3,com.mensal3.mensal3.entities,TagEntity,0,36,0,0,0,15,0,8,0,8
mensal3,com.mensal3.mensal3.entities,CategoriaEntity,0,36,0,0,0,15,0,8,0,8
mensal3,com.mensal3.mensal3.entities,UsuarioEntity,0,46,0,0,0,19,0,10,0,10
mensal3,com.mensal3.mensal3.entities,TextoEntity,0,73,0,0,0,30,0,16,0,16
mensal3,com.mensal3.mensal3.dto,ComentarioDTO,0,24,0,0,0,10,0,7,0,7
mensal3,com.mensal3.mensal3.controllers,ComentarioController,37,3,0,0,10,1,3,1,3,1
mensal3,com.mensal3.mensal3.controllers,TextoController,40,66,0,4,11,19,3,7,3,5
mensal3,com.mensal3.mensal3.controllers,TagController,40,26,0,0,11,7,3,3,3,3
mensal3,com.mensal3.mensal3.controllers,UsuarioController,25,26,0,0,7,7,2,3,2,3
mensal3,com.mensal3.mensal3.controllers,CategoriaController,40,26,0,0,11,7,3,3,3,3
